iter	Passed	Remaining
726	1263	474
727	1264	472
728	1265	470
729	1267	468
730	1268	466
731	1269	464
732	1270	462
733	1272	461
734	1274	459
735	1275	457
736	1276	455
737	1277	453
738	1278	451
739	1281	450
740	1284	448
741	1285	446
742	1286	445
743	1287	443
744	1289	441
745	1290	439
746	1291	437
747	1292	435
748	1295	434
749	1296	432
750	1298	430
751	1299	428
752	1300	426
753	1302	424
754	1303	423
755	1305	421
756	1306	419
757	1307	417
758	1308	415
759	1310	413
760	1311	411
761	1312	410
762	1313	408
763	1315	406
764	1317	404
765	1318	402
766	1320	401
767	1321	399
768	1322	397
769	1323	395
770	1326	393
771	1327	392
772	1329	390
773	1331	388
774	1332	386
775	1333	384
776	1334	383
777	1335	381
778	1337	379
779	1339	377
780	1341	376
781	1342	374
782	1343	372
783	1344	370
784	1346	368
785	1347	366
786	1349	365
787	1350	363
788	1351	361
789	1353	359
790	1354	357
791	1355	355
792	1356	354
793	1357	352
794	1359	350
795	1361	348
796	1362	347
797	1363	345
798	1364	343
799	1366	341
800	1367	339
801	1369	338
802	1371	336
803	1372	334
804	1373	332
805	1374	330
806	1376	329
807	1377	327
808	1378	325
809	1380	323
810	1382	322
811	1383	320
812	1385	318
813	1386	316
814	1387	314
815	1388	313
816	1389	311
817	1391	309
818	1393	307
819	1394	306
820	1395	304
821	1396	302
822	1398	300
823	1399	298
824	1400	297
825	1401	295
826	1402	293
827	1404	291
828	1406	290
829	1407	288
830	1408	286
831	1409	284
832	1411	282
833	1413	281
834	1414	279
835	1415	277
836	1416	275
837	1418	274
838	1419	272
839	1420	270
840	1422	268
841	1423	267
842	1424	265
843	1426	263
844	1427	261
845	1428	260
846	1430	258
847	1431	256
848	1432	254
849	1434	253
850	1436	251
851	1437	249
852	1438	247
853	1439	246
854	1440	244
855	1442	242
856	1443	240
857	1444	239
858	1446	237
859	1449	235
860	1451	234
861	1452	232
862	1453	230
863	1455	229
864	1458	227
865	1459	225
866	1461	224
867	1462	222
868	1463	220
869	1465	218
870	1466	217
871	1467	215
872	1469	213
873	1470	212
874	1472	210
875	1473	208
876	1474	206
877	1476	205
878	1477	203
879	1479	201
880	1480	199
881	1481	198
882	1483	196
883	1484	194
884	1485	193
885	1486	191
886	1487	189
887	1489	187
888	1490	186
889	1493	184
890	1494	182
891	1495	181
892	1496	179
893	1497	177
894	1499	175
895	1501	174
896	1503	172
897	1504	170
898	1505	169
899	1506	167
900	1507	165
901	1509	163
902	1510	162
903	1511	160
904	1512	158
905	1514	157
906	1515	155
907	1517	153
908	1518	152
909	1519	150
910	1521	148
911	1522	146
912	1524	145
913	1525	143
914	1527	141
915	1528	140
916	1529	138
917	1531	136
918	1532	135
919	1533	133
920	1535	131
921	1538	130
922	1539	128
923	1540	126
924	1542	125
925	1543	123
926	1545	121
927	1547	120
928	1549	118
929	1551	116
930	1552	115
931	1553	113
932	1554	111
933	1556	109
934	1557	108
935	1559	106
936	1560	104
937	1561	103
938	1563	101
939	1564	99
940	1565	98
941	1568	96
942	1569	94
943	1570	93
944	1572	91
945	1573	89
946	1576	88
947	1577	86
948	1580	84
949	1582	83
950	1583	81
951	1584	79
952	1585	78
953	1587	76
954	1588	74
955	1591	73
956	1592	71
957	1593	69
958	1594	68
959	1596	66
960	1597	64
961	1598	63
962	1599	61
963	1602	59
964	1604	58
965	1605	56
966	1606	54
967	1608	53
968	1610	51
969	1611	49
970	1612	48
971	1613	46
972	1615	44
973	1616	43
974	1618	41
975	1619	39
976	1620	38
977	1621	36
978	1623	34
979	1625	33
980	1626	31
981	1627	29
982	1628	28
983	1630	26
984	1631	24
985	1635	23
986	1636	21
987	1637	19
988	1639	18
989	1640	16
990	1642	14
991	1644	13
992	1646	11
993	1648	9
994	1649	8
995	1650	6
996	1651	4
997	1652	3
998	1654	1
999	1657	0
